"panel_id","hh_code","wave","year","treatment_hh","treatment_site","site_code","gender_hhh","age_hhh","num_dependents","read_and_write","w_gross_yield_a","w_gross_yield_b","expend_food_yearly","expend_food_lastweek","wdds_score","w_area_plots_a","w_area_plots_b","income_total","income_total_win","income_total_trim"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100103,1001,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,0,114583.34,156532.5,3000,4,0.47999999,0.47999999,0,0,0
100104,1001,"FUP4",2016,"Control","Control","Rwamangana 2","Male",28,NA,NA,13050,0,250452,4800,3,1,1,8640,8640,8640
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100202,1002,"FUP1&2",2013,"Control","Control","Rwamangana 2","Female",51,3,0,28000,156218.31,260.88751,5,1,0.40000001,0.98660004,44160,44160,44160
100203,1002,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,0,61969.738,163576.47,3135,4,0.88752997,0.88752997,0,0,0
100204,1002,"FUP4",2016,"Control","Control","Rwamangana 2","Male",54,NA,NA,0,88000,208710,4000,3,0.5,0.5,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100303,1003,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,156571.67,190023.77,193056.75,3700,3,0.50519997,0.50519997,134400,134400,134400
100304,1003,"FUP4",2016,"Control","Control","Rwamangana 2","Female",53,NA,NA,0,0,420028.88,8050,3,0.45750001,0.45750001,21600,21600,21600
100305,1003,"Endline",2018,"Control","Control","Rwamangana 2","Female",53,NA,NA,200238.09,284642.84,46959.75,900,3,0.21000001,0.21000001,96000,96000,96000
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100403,1004,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,39862.543,118127.14,165402.67,3170,2,0.58200002,0.58200002,75840,75840,75840
100405,1004,"Endline",2018,"Control","Control","Rwamangana 2","Female",93,NA,NA,471014.47,450310.53,130443.75,2500,4,0.19320001,0.19320001,57600,57600,57600
100504,1005,"FUP4",2016,"Control","Control","Rwamangana 2","Male",74,NA,NA,345238.09,235714.28,326109.38,6250,4,0.42000002,0.42000002,169920,169920,169920
100602,1006,"FUP1&2",2013,"Control","Control","Rwamangana 2","Male",24,2,1,8700,48611.109,2452.3423,47,5,1,0.108,96000,96000,96000
100603,1006,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,64444.445,46666.668,330283.56,6330,3,0.1125,0.1125,0,0,0
100604,1006,"FUP4",2016,"Control","Control","Rwamangana 2","Male",27,NA,NA,0,0,131487.3,2520,2,0.1125,0.1125,38400,38400,38400
100605,1006,"Endline",2018,"Control","Control","Rwamangana 2","Male",27,NA,NA,51785.711,38839.285,166968,3200,3,0.112,0.112,96960,96960,96960
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100703,1007,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,23534.697,63934.098,209127.42,4008,4,0.50075001,0.50075001,26880,26880,26880
100704,1007,"FUP4",2016,"Control","Control","Rwamangana 2","Female",58,NA,NA,0,0,114790.5,2200,3,0.1,0.1,28800,28800,28800
100705,1007,"Endline",2018,"Control","Control","Rwamangana 2","Female",58,NA,NA,325555.53,310000,52177.5,1000,4,0.090000004,0.090000004,33600,33600,33600
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100803,1008,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,161875,259999.98,146097,2800,4,0.60000002,0.60000002,38400,38400,38400
100903,1009,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,0,0,76179.148,1460,3,0.23999999,0.23999999,73920,73920,73920
100904,1009,"FUP4",2016,"Control","Control","Rwamangana 2","Female",42,NA,NA,0,31666.666,234798.75,4500,5,0.18000001,0.18000001,9600,9600,9600
101002,1010,"FUP1&2",2013,"Control","Control","Rwamangana 2","Female",32,3,1,72500,672077.94,0,0,2,0.059999999,0.077,9600,9600,9600
101003,1010,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,161111.11,92909.086,461770.88,8850,3,0.22499999,0.27500001,105600,105600,105600
101005,1010,"Endline",2018,"Control","Control","Rwamangana 2","Female",35,NA,NA,129152.91,173316.92,279149.63,5350,5,0.45450002,0.30449998,38400,38400,38400
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
101105,1011,"Endline",2018,"Control","Control","Rwamangana 2","Female",58,NA,NA,129999.99,98999.992,33915.375,650,4,0.29000002,0.29000002,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
101303,1013,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,165332.41,130003.43,91310.625,1750,3,0.28729999,0.29229999,63360,63360,63360
101304,1013,"FUP4",2016,"Control","Control","Rwamangana 2","Female",52,NA,NA,0,0,153923.63,2950,5,0.28729999,0.1105,63360,63360,63360
101305,1013,"Endline",2018,"Control","Control","Rwamangana 2","Female",52,NA,NA,219283.88,117072.31,135661.5,2600,3,0.42730001,0.42730001,13440,13440,13440
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
101403,1014,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,87000.008,412500.03,78266.25,1500,4,0.099999994,0.099999994,38400,38400,38400
101404,1014,"FUP4",2016,"Control","Control","Rwamangana 2","Male",32,NA,NA,96666.664,114888.88,153923.63,2950,3,0.090000004,0.090000004,9600,9600,9600
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
101704,1017,"FUP4",2016,"Control","Control","Rwamangana 2","Male",48,NA,NA,73650.797,251428.58,238451.17,4570,4,0.1575,0.1575,177600,177600,177600
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
101904,1019,"FUP4",2016,"Control","Control","Rwamangana 2","Male",73,NA,NA,13300,0,453944.25,8700,3,0.5,0.5,44160,44160,44160
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
102003,1020,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,60367.645,140000,138270.38,2650,4,0.68000001,0.15000001,67200,67200,67200
102005,1020,"Endline",2018,"Control","Control","Rwamangana 2","Male",54,NA,NA,186666.67,266666.69,346980.38,6650,3,0.14999999,0.089999996,49920,49920,49920
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
102103,1021,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,56302.621,121230.12,99137.25,1900,4,0.85519999,0.57230002,59520,59520,59520
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
102203,1022,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,37323.148,112019.45,87136.422,1670,4,1.1521,0.9052,54912,54912,54912
102204,1022,"FUP4",2016,"Control","Control","Rwamangana 2","Male",43,NA,NA,155642.02,94462.539,327674.69,6280,4,1.1051,0.15350001,271680,192000,271680
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
102602,1026,"FUP1&2",2013,"Control","Control","Rwamangana 2","Male",32,1,1,0,360937.5,939.19501,18,2,0.059999999,0.31999999,24000,24000,24000
102603,1026,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,24166.666,308650,86092.875,1650,3,0.60000002,0.5,9600,9600,9600
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
102802,1028,"FUP1&2",2013,"Control","Control","Rwamangana 2","Female",61,0,0,119849.91,96002.797,0,0,2,0.65289998,0.5729,65280,65280,65280
102803,1028,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,11898.9,95353.68,49568.625,950,3,1.2186,1.1536,62784,62784,62784
102804,1028,"FUP4",2016,"Control","Control","Rwamangana 2","Female",64,NA,NA,0,0,26088.75,500,4,0.65289998,0.65289998,90240,90240,90240
102805,1028,"Endline",2018,"Control","Control","Rwamangana 2","Female",64,NA,NA,458571.41,246904.75,389765.94,7470,3,0.21000001,0.21000001,28800,28800,28800
102902,1029,"FUP1&2",2013,"Control","Control","Rwamangana 2","Male",64,4,1,51683.168,87161.102,0,0,2,0.2525,0.51270002,44160,44160,44160
102903,1029,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,173246.75,53921.57,224363.25,4300,4,0.38499999,0.50999999,73920,73920,73920
