"panel_id","hh_code","wave","year","treatment_hh","treatment_site","site_code","gender_hhh","age_hhh","num_dependents","read_and_write","w_gross_yield_a","w_gross_yield_b","expend_food_yearly","expend_food_lastweek","wdds_score","w_area_plots_a","w_area_plots_b","income_total","income_total_win","income_total_trim"
102904,1029,"FUP4",2016,"Control","Control","Rwamangana 2","Male",72,NA,NA,0,65346.535,219145.5,4200,2,0.505,0.505,55680,55680,55680
102905,1029,"Endline",2018,"Control","Control","Rwamangana 2","Male",72,NA,NA,10265.486,68672.57,5217.75,100,3,0.565,0.565,17280,17280,17280
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
103103,1031,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,67944.625,155218.31,310456.13,5950,4,0.46950001,0.46950001,57600,57600,57600
103105,1031,"Endline",2018,"Control","Control","Rwamangana 2","Male",52,NA,NA,76361.727,62894.98,433073.25,8300,4,0.66459996,0.66459996,86400,86400,86400
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
103603,1036,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,60278.574,48500,469597.5,9000,5,0.69999999,0.69999999,31680,31680,31680
103605,1036,"Endline",2018,"Control","Control","Rwamangana 2","Female",48,NA,NA,136716.42,0,232189.88,4450,4,0.33499998,0.16,64560,64560,64560
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
104002,1040,"FUP1&2",2013,"Control","Control","Rwamangana 2","Male",71,6,1,0,0,0,0,2,0.27500001,0.25999999,57600,57600,57600
104005,1040,"Endline",2018,"Control","Control","Rwamangana 2","Male",74,NA,NA,29000,132000,78266.25,1500,2,0.5,0.5,163200,163200,163200
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
104103,1041,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,45062.25,152664.69,190447.88,3650,3,0.70680004,0.27020001,62400,62400,62400
104104,1041,"FUP4",2016,"Control","Control","Rwamangana 2","Female",42,NA,NA,42190.969,0,247843.13,4750,3,0.27020001,0.054400001,13440,13440,13440
104105,1041,"Endline",2018,"Control","Control","Rwamangana 2","Female",42,NA,NA,139096.63,45617.711,219145.5,4200,3,0.33429998,0.33429998,62400,62400,62400
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
104205,1042,"Endline",2018,"Control","Control","Rwamangana 2","Female",59,NA,NA,105424.98,70921.016,161750.25,3100,4,0.73180002,0.73180002,145920,145920,145920
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
104302,1043,"FUP1&2",2013,"Control","Control","Rwamangana 2","Male",70,1,0,97222.219,189772.72,0,0,1,0.36000001,0.66000003,71040,71040,71040
104303,1043,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,53483.609,282366.09,88701.75,1700,3,0.24399999,0.22399999,0,0,0
104304,1043,"FUP4",2016,"Control","Control","Rwamangana 2","Male",76,NA,NA,73701.844,11725.293,430464.38,8250,3,0.1194,0.1194,11520,11520,11520
104305,1043,"Endline",2018,"Control","Control","Rwamangana 2","Male",76,NA,NA,28999.998,146666.66,26088.75,500,2,0.15000001,0.15000001,67200,67200,67200
104404,1044,"FUP4",2016,"Control","Control","Rwamangana 2","Male",42,NA,NA,110828.02,0,234798.75,4500,4,0.078500003,0.078500003,158400,158400,158400
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
104703,1047,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,152238.8,172181.81,330283.56,6330,5,0.33500001,0.27500001,48000,48000,48000
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
104805,1048,"Endline",2018,"Control","Control","Rwamangana 2","Female",67,NA,NA,0,13200,435682.13,8350,2,0.2,0.2,17280,17280,17280
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
104903,1049,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,96989.969,105112.28,198274.5,3800,3,0.41859999,0.41859999,13440,13440,13440
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
105003,1050,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,41428.57,125714.29,406984.5,7800,4,0.34999999,0.34999999,67200,67200,67200
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
105005,1050,"Endline",2018,"Control","Control","Rwamangana 2","Male",60,NA,NA,11338.459,28541.639,44350.875,850,3,0.76730001,0.76730001,172800,172800,172800
105101,1051,"Baseline",2012,"Control","Control","Rwamangana 2","Female",87,5,0,119303.79,538461.5,147140.55,2820,4,0.15800001,0.052000001,6720,6720,6720
105102,1051,"FUP1&2",2013,"Control","Control","Rwamangana 2","Female",89,2,1,172950.81,133603.23,0,0,4,0.30500001,0.24700001,38400,38400,38400
105103,1051,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,22269.105,0,161750.25,3100,2,1.0664999,0.9425,6240,6240,6240
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
105305,1053,"Endline",2018,"Control","Control","Rwamangana 2","Male",48,NA,NA,135000,62142.855,0,0,0,0.21000001,0.21000001,336000,192000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
105503,1055,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,91320,48864.66,417420,8000,5,1.25,1.33,81696,81696,81696
105504,1055,"FUP4",2016,"Control","Control","Rwamangana 2","Male",50,NA,NA,145000,64444.445,0,0,0,0.44999999,0.44999999,241440,192000,241440
105505,1055,"Endline",2018,"Control","Control","Rwamangana 2","Male",50,NA,NA,306205.69,483510.69,0,0,0,0.28199998,0.28199998,174240,174240,174240
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
106102,1061,"FUP1&2",2013,"Control","Control","Rwamangana 2","Female",80,3,0,11975.554,52540.066,0,0,3,1.2107999,0.36810002,201600,192000,201600
106103,1061,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,172859.03,57971.016,412202.25,7900,4,0.3795,0.3795,2880,2880,2880
106104,1061,"FUP4",2016,"Control","Control","Rwamangana 2","Female",83,NA,NA,0,0,190447.88,3650,4,0.32120001,0.32120001,36480,36480,36480
106105,1061,"Endline",2018,"Control","Control","Rwamangana 2","Female",83,NA,NA,0,195555.55,187839,3600,4,0.44,0.18000001,17280,17280,17280
106403,1064,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,63600.988,37141.848,109572.75,2100,3,0.2827,0.2827,81216,81216,81216
106404,1064,"FUP4",2016,"Control","Control","Rwamangana 2","Male",71,NA,NA,0,0,234798.75,4500,2,0.108,0.108,105600,105600,105600
106405,1064,"Endline",2018,"Control","Control","Rwamangana 2","Male",71,NA,NA,132647.23,271105.31,276540.75,5300,3,0.34979999,0.2298,220800,192000,220800
106503,1065,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,56869.5,18094.842,182621.25,3500,5,0.84140003,0.84140003,180480,180480,180480
106504,1065,"FUP4",2016,"Control","Control","Rwamangana 2","Male",37,NA,NA,81594.375,64072.695,399157.88,7650,3,0.42649999,0.85839999,19200,19200,19200
106505,1065,"Endline",2018,"Control","Control","Rwamangana 2","Male",37,NA,NA,37820.785,30208.334,417420,8000,4,0.71309996,0.28799999,206448,192000,206448
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
106602,1066,"FUP1&2",2013,"Control","Control","Rwamangana 2","Male",37,3,1,0,132000,2191.4548,42,3,0.012,0.0625,11520,11520,11520
106603,1066,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,68069.305,0,151314.75,2900,5,0.040400002,0.19,96000,96000,96000
106604,1066,"FUP4",2016,"Control","Control","Rwamangana 2","Male",39,NA,NA,39509.539,39509.539,117399.38,2250,1,0.036699999,0.036699999,248640,192000,248640
106605,1066,"Endline",2018,"Control","Control","Rwamangana 2","Male",39,NA,NA,39509.539,23705.723,245234.25,4700,4,0.036699999,0.036699999,345600,192000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107103,1071,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,31476.121,35094.066,203492.25,3900,0,0.2764,0.2764,110400,110400,110400
107104,1071,"FUP4",2016,"Control","Control","Rwamangana 2","Male",67,NA,NA,12024.123,2186.2043,211318.88,4050,1,0.26530001,0.26530001,41280,41280,41280
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107202,1072,"FUP1&2",2013,"Control","Control","Rwamangana 2","Male",54,2,0,0,121107.27,0,0,3,0.23999999,0.46239999,288000,192000,NA
107203,1072,"FUP3",2014,"Control","Control","Rwamangana 2","Male",NA,NA,NA,22391.561,114684.48,246538.69,4725,3,0.42649996,0.41199997,4800,4800,4800
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107205,1072,"Endline",2018,"Control","Control","Rwamangana 2","Male",57,NA,NA,10569.914,28081.512,23479.875,450,3,0.60359997,0.60359997,3840,3840,3840
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107302,1073,"FUP1&2",2013,"Control","Control","Rwamangana 2","Female",45,1,0,0,23239.438,0,0,3,0.5359,0.70999998,292800,192000,NA
107303,1073,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,6647.5649,39467.688,307847.25,5900,6,0.87249994,0.87729996,0,0,0
107304,1073,"FUP4",2016,"Control","Control","Rwamangana 2","Female",48,NA,NA,108229.15,41052.434,213927.75,4100,3,0.5359,0.5359,31680,31680,31680
107305,1073,"Endline",2018,"Control","Control","Rwamangana 2","Female",48,NA,NA,78761.539,52873.559,148705.88,2850,3,0.92050004,1.0005001,273600,192000,273600
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107403,1074,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,61608.875,11800.163,288280.69,5525,4,0.56809998,0.4894,21600,21600,21600
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107502,1075,"FUP1&2",2013,"Control","Control","Rwamangana 2","Female",63,0,1,147835.27,42000,0,0,2,0.1894,0.15000001,29760,29760,29760
107503,1075,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,110341.78,20256.336,386113.5,7400,3,0.33939999,0.33939999,0,0,0
107504,1075,"FUP4",2016,"Control","Control","Rwamangana 2","Female",66,NA,NA,0,32718.121,114790.5,2200,4,0.1894,0.3576,76800,76800,76800
107505,1075,"Endline",2018,"Control","Control","Rwamangana 2","Female",66,NA,NA,72030.039,58033.68,151314.75,2900,4,0.43940002,0.43940002,302400,192000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107603,1076,"FUP3",2014,"Control","Control","Rwamangana 2","Female",NA,NA,NA,170822.94,18009.168,310456.13,5950,4,0.2807,0.15270001,194880,192000,194880
107604,1076,"FUP4",2016,"Control","Control","Rwamangana 2","Female",55,NA,NA,0,7016.1289,78266.25,1500,2,0.124,0.124,24000,24000,24000
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107702,1077,"FUP1&2",2013,"Control","Control","Rwamangana 2","Female",49,1,0,19333.334,438742.41,0,0,3,0.059999999,0.0493,0,0,0
107704,1077,"FUP4",2016,"Control","Control","Rwamangana 2","Female",52,NA,NA,66458.328,26851.852,139835.7,2680,2,0.14400001,0.054000001,27360,27360,27360
107705,1077,"Endline",2018,"Control","Treatment","Rwamangana 34","Female",52,NA,NA,116000,162400,149227.66,2860,5,0.125,0.125,284160,192000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
107803,1078,"FUP3",2014,"Control","Control","Rwamangana 2",NA,NA,NA,NA,9643.6064,30660.379,15653.25,300,3,0.57239997,0.57239997,9600,9600,9600
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
