"","Country","AVG_Happiness_Foreign","AVG_Happiness_Local","Happiness_Index_2018","Dystopia_Comparison","Explained_GDPperCapita","Explained_SocialSupp","Explained_LifeExp","Explained_Freedom","Explained_Generosity","Explained_Corruption","HappinessChange","Happiness_Index_2010","Region indicator","Life ladder, 2015-2017","Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Standard error, generosity, 2015-2017","Perceptions of corruption, 2015-2017"
"1","Afghanistan",4.0684871673584,3.85313558578491,3.63150000572205,2.1959183216095,0.331814259290695,0.537191331386566,0.254771560430527,0.0845517739653587,0.191003918647766,0.0362676978111267,-0.688337802886963,4.31983780860901,"South Asia",3.63151884078979,7.46260976791382,1741.6875,52.0133285522461,0.525074541568756,0.445294231176376,0.179053544998169,0.00833086855709553,0.879704535007477
"2","Albania",NA,NA,4.58599996566772,1.46214771270752,0.915782332420349,0.817404687404633,0.790387153625488,0.41866934299469,0.14921273291111,0.0324355699121952,-0.791440963745117,5.37744092941284,"Central and Eastern Europe",4.58603954315186,9.33812618255615,11363.095703125,68.8715515136719,0.639576375484467,0.726340234279633,0.259975373744965,0.00904830079525709,0.88677841424942
"3","Algeria",NA,NA,5.29460000991821,2.20853471755981,0.978857398033142,1.15365600585938,0.686598539352417,0.0772797837853432,0.0551946423947811,0.134516581892967,-0.168929100036621,5.46352910995483,"Middle East and North Africa",5.29463768005371,9.54070281982422,13914.7236328125,65.6048583984375,0.776976704597473,0.439177334308624,0.128987744450569,0.0123274447396398,0.698342978954315
"4","Angola",NA,NA,3.79480004310608,1.53053092956543,0.730156660079956,1.12502038478851,0.268985629081726,0,0.0788681730628014,0.0612761490046978,NA,NA,"Sub-Saharan Africa",3.79483795166016,8.74195671081543,6260.1328125,52.4607086181641,0.765275478363037,0.374172747135162,0.106828570365906,0.0114986496046185,0.833540439605713
"5","Argentina",5.84322595596313,6.43971729278564,6.38800001144409,2.41820073127747,1.07267069816589,1.46834146976471,0.743585169315338,0.569710254669189,0.0619422122836113,0.0535070784389973,0.112429618835449,6.27557039260864,"Latin America and Caribbean",6.38795757293701,9.84200096130371,18807.310546875,67.3984832763672,0.905564665794373,0.85338968038559,0.16317380964756,0.00777691975235939,0.847881674766541
"6","Armenia",4.10064125061035,4.41769599914551,4.3206000328064,1.48299384117126,0.816387414932251,0.990200042724609,0.666189014911652,0.260099738836288,0.0770520865917206,0.0276431497186422,-0.0783843994140625,4.39898443222046,"Commonwealth of Independent States",4.32056522369385,9.01890182495117,8257.7041015625,64.9624786376953,0.710184693336487,0.592957973480225,0.12258356064558,0.00690524326637387,0.895624935626984
"7","Australia",7.24934816360474,7.32390356063843,7.27209997177124,2.13923645019531,1.33995127677917,1.57253634929657,0.910444676876068,0.646525800228119,0.361004859209061,0.302351891994476,-0.0794711112976074,7.35157108306885,"North America and ANZ",7.2720513343811,10.7004194259644,44374.46484375,72.6502990722656,0.948141157627106,0.918003737926483,0.694878876209259,0.0121527975425124,0.388529062271118
"8","Austria",6.90262413024902,7.26085186004639,7.13940000534058,2.31947803497314,1.34135162830353,1.50410151481628,0.891358375549316,0.617242217063904,0.242010593414307,0.223820000886917,-0.122659206390381,7.26205921173096,"Western Europe",7.13936233520508,10.7049169540405,44574.48828125,72.0495681762695,0.920177042484283,0.89337158203125,0.509860396385193,0.0103825805708766,0.533494234085083
"9","Azerbaijan",4.73459434509277,4.92278671264648,5.20060014724731,1.77556562423706,1.02401828765869,1.16089129447937,0.602876424789429,0.429843485355377,0.030907966196537,0.176491767168045,0.66334056854248,4.53725957870483,"Commonwealth of Independent States",5.20059490203857,9.68574523925781,16086.6533203125,62.9697494506836,0.779933214187622,0.735739469528198,0.10410862416029,0.00617749243974686,0.620859324932098
"10","Bahrain",6.23993301391602,5.54175615310669,6.10510015487671,1.74286127090454,1.33776962757111,1.36563968658447,0.698415517807007,0.594379961490631,0.24293951690197,0.123062886297703,0.28879976272583,5.81630039215088,"Middle East and North Africa",6.10506868362427,10.6934127807617,44064.6328125,65.9767913818359,0.86359828710556,0.874140799045563,0.510673224925995,0.0101229697465897,NA
"11","Bangladesh",NA,NA,4.50040006637573,1.66353559494019,0.532337546348572,0.849565088748932,0.578533232212067,0.57963240146637,0.152980029582977,0.143806591629982,-0.497479915618896,4.99787998199463,"South Asia",4.50039052963257,8.1066255569458,3316.3681640625,62.2035598754883,0.652717888355255,0.861735761165619,0.170758500695229,0.00809679459780455,0.681194186210632
"12","Belarus",5.71525287628174,5.56095552444458,5.48330020904541,1.68403768539429,1.0387806892395,1.49776136875153,0.700122237205505,0.307283222675323,0.100974969565868,0.154366195201874,-0.0339035987854004,5.51720380783081,"Commonwealth of Independent States",5.48332643508911,9.73315715789795,16867.72265625,66.0305099487305,0.917586326599121,0.632646799087524,0.21748723089695,0.00847428664565086,0.661701798439026
"13","Belgium",6.6009726524353,7.07634401321411,6.92689990997314,2.2150411605835,1.32352244853973,1.48287582397461,0.894324600696564,0.582692801952362,0.18803545832634,0.240393251180649,-0.0581493377685547,6.9850492477417,"Western Europe",6.9268856048584,10.6476554870605,42093.7890625,72.1429290771484,0.911503732204437,0.864310026168823,0.421579718589783,0.0109771750867367,0.502901017665863
"14","Belize",5.80354499816895,6.27570867538452,5.95559978485107,2.70978474617004,0.806729137897491,1.10088777542114,0.474332898855209,0.592750668525696,0.182559639215469,0.0886015668511391,NA,NA,"Latin America and Caribbean",5.95564651489258,8.98788261413574,8005.48828125,58.9239082336426,0.755414307117462,0.872770309448242,0.286091297864914,0.0227342881262302,0.783099353313446
"15","Benin",4.01471328735352,3.73155808448792,4.14139986038208,2.48081731796265,0.377803832292557,0.372498482465744,0.240425631403923,0.43974980711937,0.163235366344452,0.0668337047100067,0.47422456741333,3.66717529296875,"Sub-Saharan Africa",4.14136409759521,7.61031341552734,2018.91076660156,51.5617980957031,0.457777112722397,0.744072258472443,0.149063423275948,0.0084221139550209,0.823281526565552
"16","Bhutan",NA,NA,5.08209991455078,1.3482608795166,0.796362400054932,1.3346152305603,0.526566803455353,0.541495323181152,0.364007264375687,0.170820683240891,NA,NA,"South Asia",5.08212852478027,8.95458793640137,7743.33642578125,60.567943572998,0.850920915603638,0.829656422138214,0.563592195510864,0.0191324260085821,0.63132780790329
"17","Bolivia",NA,NA,5.75190019607544,2.46861743927002,0.751110255718231,1.22306048870087,0.508388459682465,0.605736494064331,0.141153305768967,0.0538231916725636,0.0294971466064453,5.72240304946899,"Latin America and Caribbean",5.75188970565796,8.80925273895264,6695.91357421875,59.9957885742188,0.805337011814117,0.88369345664978,0.209027826786041,0.00909545738250017,0.847298145294189
"18","Bosnia and Herzegovina",5.36141538619995,5.0039587020874,5.12939977645874,1.88259482383728,0.914917349815369,1.07805216312408,0.757558047771454,0.280308336019516,0.215923264622688,0,0.313358306884766,4.81604146957397,"Central and Eastern Europe",5.12935400009155,9.33534812927246,11331.572265625,67.8382720947266,0.74608314037323,0.609956622123718,0.363586843013763,0.00991212856024504,0.94665253162384
"19","Botswana",4.49582862854004,4.02079486846924,3.58979988098145,0.291650533676147,1.01657462120056,1.17361521720886,0.416565388441086,0.556795656681061,0.0423686727881432,0.092258557677269,-0.911104917526245,4.50090479850769,"Sub-Saharan Africa",3.58982872962952,9.66183853149414,15706.6357421875,57.1057052612305,0.785132467746735,0.842526435852051,0.119786821305752,0.00710709253326058,0.776348769664764
