country,code_str,Indicator Name,2015,2016,2017
Aruba,ABW,GDP (current US$),,,
Afghanistan,AFG,GDP (current US$),19215562179,19469022208,20815300220
Angola,AGO,GDP (current US$),1.02621E+11,95337203468,1.24209E+11
Albania,ALB,GDP (current US$),11386931490,11883682171,13039352744
Andorra,AND,GDP (current US$),2811489409,2877311947,3012914131
Arab World,ARB,GDP (current US$),2.55448E+12,2.50016E+12,2.59105E+12
United Arab Emirates,ARE,GDP (current US$),3.58135E+11,3.57045E+11,3.82575E+11
Argentina,ARG,GDP (current US$),5.94749E+11,5.54861E+11,6.3759E+11
Armenia,ARM,GDP (current US$),10553337673,10546135160,11536590636
American Samoa,ASM,GDP (current US$),659000000,658000000,
Antigua and Barbuda,ATG,GDP (current US$),1364863037,1460144704,1532397556
Australia,AUS,GDP (current US$),1.34903E+12,1.20804E+12,1.32342E+12
Austria,AUT,GDP (current US$),3.82066E+11,3.908E+11,4.16596E+11
Azerbaijan,AZE,GDP (current US$),53074370486,37867518957,40747792238
Burundi,BDI,GDP (current US$),3066681387,3007029030,3477502178
Belgium,BEL,GDP (current US$),4.5504E+11,4.67546E+11,4.92681E+11
Benin,BEN,GDP (current US$),8291155881,8573159697,9273558272
Burkina Faso,BFA,GDP (current US$),10419303761,11448781714,12873114800
Bangladesh,BGD,GDP (current US$),1.95079E+11,2.21415E+11,2.49724E+11
Bulgaria,BGR,GDP (current US$),50199104511,53240893665,56831518294
Bahrain,BHR,GDP (current US$),31125851064,32152686170,35307127660
"Bahamas, The",BHS,GDP (current US$),11792300000,11838800000,12162100000
Bosnia and Herzegovina,BIH,GDP (current US$),16209702864,16911088174,18168579578
Belarus,BLR,GDP (current US$),56454734397,47722657821,54442374373
Belize,BLZ,GDP (current US$),1778567600,1820158550,1838000000
Bermuda,BMU,GDP (current US$),,,
Bolivia,BOL,GDP (current US$),33000198263,33941126194,37508642113
Brazil,BRA,GDP (current US$),1.80221E+12,1.79399E+12,2.05551E+12
Barbados,BRB,GDP (current US$),4584150000,4529050000,4796845981
Brunei Darussalam,BRN,GDP (current US$),12930394938,11400653960,12128089002
Bhutan,BTN,GDP (current US$),2059258653,2212638830,2511852941
Botswana,BWA,GDP (current US$),14420551446,15648700274,17406530781
Central African Republic,CAF,GDP (current US$),1583776806,1755468137,1949411659
Canada,CAN,GDP (current US$),1.55962E+12,1.53577E+12,1.65304E+12
Central Europe and the Baltics,CEB,GDP (current US$),1.28622E+12,1.31307E+12,1.45075E+12
Switzerland,CHE,GDP (current US$),6.79289E+11,6.68745E+11,6.78887E+11
Channel Islands,CHI,GDP (current US$),,,
Chile,CHL,GDP (current US$),2.43999E+11,2.50036E+11,2.77076E+11
China,CHN,GDP (current US$),1.10647E+13,1.1191E+13,1.22377E+13
Cote d'Ivoire,CIV,GDP (current US$),33145096414,36374849865,40388624117
Cameroon,CMR,GDP (current US$),30916218544,32217537943,34798596482
"Congo, Dem. Rep.",COD,GDP (current US$),37917704900,34991160100,37241300949
"Congo, Rep.",COG,GDP (current US$),8553154580,7833508879,8722553001
Colombia,COL,GDP (current US$),2.9152E+11,2.80091E+11,3.09191E+11
Comoros,COM,GDP (current US$),565689764.6,616654490.4,648920942.7
Cabo Verde,CPV,GDP (current US$),1596154666,1638927336,1753736712
