country,code_str,Indicator Name,2015,2016,2017
Costa Rica,CRI,GDP (current US$),54775972989,56988989897,57057372468
Caribbean small states,CSS,GDP (current US$),70918077437,67787681466,69331419651
Cuba,CUB,GDP (current US$),87132800000,,
Curacao,CUW,GDP (current US$),,,
Cayman Islands,CYM,GDP (current US$),,,
Cyprus,CYP,GDP (current US$),19676167240,20153871681,21651791751
Czech Republic,CZE,GDP (current US$),1.8683E+11,1.95305E+11,2.15726E+11
Germany,DEU,GDP (current US$),3.37561E+12,3.4778E+12,3.67744E+12
Djibouti,DJI,GDP (current US$),1633741923,1764268469,1844674435
Dominica,DMA,GDP (current US$),535095851.9,581484037,562540740.7
Denmark,DNK,GDP (current US$),3.01298E+11,3.069E+11,3.24872E+11
Dominican Republic,DOM,GDP (current US$),68802092021,72342967648,75931656815
Algeria,DZA,GDP (current US$),1.65874E+11,1.59049E+11,1.70371E+11
East Asia & Pacific (excluding high income),EAP,GDP (current US$),1.32711E+13,1.35093E+13,1.47423E+13
Early-demographic dividend,EAR,GDP (current US$),1.02274E+13,1.04374E+13,1.12494E+13
East Asia & Pacific,EAS,GDP (current US$),2.1795E+13,2.25122E+13,2.39993E+13
Europe & Central Asia (excluding high income),ECA,GDP (current US$),3.07485E+12,2.9433E+12,3.3005E+12
Europe & Central Asia,ECS,GDP (current US$),2.03734E+13,2.02807E+13,2.14385E+13
Ecuador,ECU,GDP (current US$),99290381000,98613972000,1.03057E+11
"Egypt, Arab Rep.",EGY,GDP (current US$),3.32698E+11,3.32928E+11,2.35369E+11
Euro area,EMU,GDP (current US$),1.16673E+13,1.19347E+13,1.25895E+13
Eritrea,ERI,GDP (current US$),,,
Spain,ESP,GDP (current US$),1.19779E+12,1.23726E+12,1.31132E+12
Estonia,EST,GDP (current US$),22566956982,23337907619,25921079612
Ethiopia,ETH,GDP (current US$),64464547915,73000980434,80561496134
European Union,EUU,GDP (current US$),1.64167E+13,1.64919E+13,1.72777E+13
Fragile and conflict affected situations,FCS,GDP (current US$),7.58949E+11,7.24091E+11,8.30727E+11
Finland,FIN,GDP (current US$),2.32465E+11,2.38678E+11,2.51885E+11
Fiji,FJI,GDP (current US$),4362128146,4671313315,5061202767
France,FRA,GDP (current US$),2.43821E+12,2.46513E+12,2.5825E+12
Faroe Islands,FRO,GDP (current US$),2476746087,,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),315179700,329895600,336427532.9
Gabon,GAB,GDP (current US$),14377389786,14014278017,14622880886
United Kingdom,GBR,GDP (current US$),2.88557E+12,2.65085E+12,2.62243E+12
Georgia,GEO,GDP (current US$),13993546732,14378016732,15159281211
Ghana,GHA,GDP (current US$),37338430643,42803583022,47330016343
Gibraltar,GIB,GDP (current US$),,,
Guinea,GIN,GDP (current US$),8857789706,9275886117,10496056733
"Gambia, The",GMB,GDP (current US$),907655651.5,962797146.5,1014621520
Guinea-Bissau,GNB,GDP (current US$),1047808175,1178204501,1346933490
Equatorial Guinea,GNQ,GDP (current US$),13180194733,11259559879,12486753871
Greece,GRC,GDP (current US$),1.95542E+11,1.92691E+11,2.00288E+11
Grenada,GRD,GDP (current US$),997007925.9,1056188593,1118816679
Greenland,GRL,GDP (current US$),2520206900,2705891617,
Guatemala,GTM,GDP (current US$),63767597194,68663653469,75620095538
Guam,GUM,GDP (current US$),5697000000,5793000000,
Guyana,GUY,GDP (current US$),3166029056,3504024213,3675631961
High income,HIC,GDP (current US$),4.83224E+13,4.92819E+13,5.14754E+13
"Hong Kong SAR, China",HKG,GDP (current US$),3.09384E+11,3.20881E+11,3.41449E+11
Honduras,HND,GDP (current US$),20979767785,21643936939,22978532897
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),6.40014E+11,6.52176E+11,7.28774E+11
Croatia,HRV,GDP (current US$),49425513611,51338524831,54849180229
Haiti,HTI,GDP (current US$),8724656126,7970649131,8408150518
Hungary,HUN,GDP (current US$),1.22879E+11,1.25817E+11,1.39135E+11
IBRD only,IBD,GDP (current US$),2.58923E+13,2.60255E+13,2.86485E+13
IDA & IBRD total,IBT,GDP (current US$),2.79157E+13,2.80057E+13,3.07418E+13
IDA total,IDA,GDP (current US$),2.0334E+12,1.98882E+12,2.09962E+12
IDA blend,IDB,GDP (current US$),9.85847E+11,9.24035E+11,9.15342E+11
Indonesia,IDN,GDP (current US$),8.60854E+11,9.32256E+11,1.01554E+12
IDA only,IDX,GDP (current US$),1.03948E+12,1.06027E+12,1.18602E+12
Isle of Man,IMN,GDP (current US$),6792417112,,
India,IND,GDP (current US$),2.10239E+12,2.27423E+12,2.59749E+12
Not classified,INX,GDP (current US$),,,
Ireland,IRL,GDP (current US$),2.90617E+11,3.04819E+11,3.33731E+11
"Iran, Islamic Rep.",IRN,GDP (current US$),3.85874E+11,4.18977E+11,4.39514E+11
Iraq,IRQ,GDP (current US$),1.7964E+11,1.71489E+11,1.97716E+11
Iceland,ISL,GDP (current US$),16942247374,20304098101,23909289979
Israel,ISR,GDP (current US$),2.99094E+11,3.17748E+11,3.50851E+11
Italy,ITA,GDP (current US$),1.83287E+12,1.85938E+12,1.9348E+12
Jamaica,JAM,GDP (current US$),14186886643,14056908749,14768134912
Jordan,JOR,GDP (current US$),37517410282,38654727746,40068308516
Japan,JPN,GDP (current US$),4.39498E+12,4.94927E+12,4.87214E+12
Kazakhstan,KAZ,GDP (current US$),1.84388E+11,1.37278E+11,1.59407E+11
Kenya,KEN,GDP (current US$),64007293815,70875289605,74938190655
Kyrgyz Republic,KGZ,GDP (current US$),6678178340,6813092066,7564738836
Cambodia,KHM,GDP (current US$),18049954289,20016747754,22158209503
Kiribati,KIR,GDP (current US$),169140560.4,181551516.5,196150061.3
St. Kitts and Nevis,KNA,GDP (current US$),878281518.5,909854629.6,945854481.5
"Korea, Rep.",KOR,GDP (current US$),1.38276E+12,1.4148E+12,1.53075E+12
Kuwait,KWT,GDP (current US$),1.14567E+11,1.10912E+11,1.20126E+11
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),4.37565E+12,4.26379E+12,4.72305E+12
Lao PDR,LAO,GDP (current US$),14390391264,15805707154,16853079615
Lebanon,LBN,GDP (current US$),49459296463,49598825982,51844487742
Liberia,LBR,GDP (current US$),2034000000,2101000000,2158000000
Libya,LBY,GDP (current US$),29274816454,32257171354,50984362478
St. Lucia,LCA,GDP (current US$),1649142630,1667078704,1712306556
Latin America & Caribbean,LCN,GDP (current US$),5.50478E+12,5.36066E+12,5.95467E+12
Least developed countries: UN classification,LDC,GDP (current US$),9.28338E+11,9.29672E+11,1.06264E+12
Low income,LIC,GDP (current US$),5.3015E+11,5.0178E+11,5.49654E+11
Liechtenstein,LIE,GDP (current US$),6289165410,,
Sri Lanka,LKA,GDP (current US$),80554807486,81788375090,87174682200
Lower middle income,LMC,GDP (current US$),5.78882E+12,6.0368E+12,6.50416E+12
Low & middle income,LMY,GDP (current US$),2.65346E+13,2.66636E+13,2.92368E+13
Lesotho,LSO,GDP (current US$),2505879960,2291319972,2639386291
Late-demographic dividend,LTE,GDP (current US$),1.84644E+13,1.84676E+13,2.04529E+13
Lithuania,LTU,GDP (current US$),41508609233,42773029835,47168303744
Luxembourg,LUX,GDP (current US$),57784495265,58631324559,62404461275
Latvia,LVA,GDP (current US$),26972863394,27571513793,30264454642
"Macao SAR, China",MAC,GDP (current US$),45361678147,45310877913,50361201096
St. Martin (French part),MAF,GDP (current US$),,,
Morocco,MAR,GDP (current US$),1.00593E+11,1.03606E+11,1.09139E+11
Monaco,MCO,GDP (current US$),,,
Moldova,MDA,GDP (current US$),6512899540,6795741776,8128493432
Madagascar,MDG,GDP (current US$),9744243531,10001193315,11499803807
Maldives,MDV,GDP (current US$),4006531188,4222767413,4597083304
Middle East & North Africa,MEA,GDP (current US$),3.1414E+12,3.14248E+12,3.26575E+12
Mexico,MEX,GDP (current US$),1.16962E+12,1.07691E+12,1.14992E+12
Marshall Islands,MHL,GDP (current US$),179697900,194497900,199399247.1
Middle income,MIC,GDP (current US$),2.60058E+13,2.61578E+13,2.86827E+13
"Macedonia, FYR",MKD,GDP (current US$),10051659161,10745787406,11337827332
Mali,MLI,GDP (current US$),13100058100,14034980334,15288163367
Malta,MLT,GDP (current US$),10574026838,11279535398,12537750732
Myanmar,MMR,GDP (current US$),59687373958,63225097051,69322122756
Middle East & North Africa (excluding high income),MNA,GDP (current US$),1.43524E+12,1.44468E+12,1.43175E+12
Montenegro,MNE,GDP (current US$),4052913386,4374130531,4774086094
Mongolia,MNG,GDP (current US$),11749620620,11183458131,11488046881
Northern Mariana Islands,MNP,GDP (current US$),933000000,1242000000,
Mozambique,MOZ,GDP (current US$),14798399862,11014862242,12333859926
Mauritania,MRT,GDP (current US$),4844223107,4739298311,5024705934
Mauritius,MUS,GDP (current US$),11692287066,12232463656,13338147523
Malawi,MWI,GDP (current US$),6373201160,5433038647,6303277591
Malaysia,MYS,GDP (current US$),2.96434E+11,2.96536E+11,3.145E+11
North America,NAC,GDP (current US$),1.96863E+13,2.01663E+13,2.105E+13
Namibia,NAM,GDP (current US$),11769045772,11309232188,13244597345
New Caledonia,NCL,GDP (current US$),,,
Niger,NER,GDP (current US$),7251323996,7606749314,8119732793
Nigeria,NGA,GDP (current US$),4.81066E+11,4.04653E+11,3.75771E+11
Nicaragua,NIC,GDP (current US$),12611087031,13184989878,13814261536
Netherlands,NLD,GDP (current US$),7.57999E+11,7.77228E+11,8.262E+11
Norway,NOR,GDP (current US$),3.86663E+11,3.71075E+11,3.98832E+11
Nepal,NPL,GDP (current US$),21410840909,21131983246,24472013234
Nauru,NRU,GDP (current US$),100459782.6,102060129.6,113884908.4
New Zealand,NZL,GDP (current US$),1.77621E+11,1.89286E+11,2.05853E+11
OECD members,OED,GDP (current US$),4.6749E+13,4.76582E+13,4.96264E+13
Oman,OMN,GDP (current US$),68905071521,66824447334,72642652796
Other small states,OSS,GDP (current US$),3.72657E+11,3.64419E+11,4.02189E+11
Pakistan,PAK,GDP (current US$),2.70556E+11,2.78655E+11,3.04952E+11
Panama,PAN,GDP (current US$),54315722500,57820916600,61838175800
Peru,PER,GDP (current US$),1.89927E+11,1.9164E+11,2.11389E+11
Philippines,PHL,GDP (current US$),2.92774E+11,3.04889E+11,3.13595E+11
Palau,PLW,GDP (current US$),293082900,302699800,291544300
Papua New Guinea,PNG,GDP (current US$),20638636035,19904808312,21088758485
Poland,POL,GDP (current US$),4.77356E+11,4.714E+11,5.2451E+11
Pre-demographic dividend,PRE,GDP (current US$),1.30627E+12,1.20709E+12,1.29707E+12
Puerto Rico,PRI,GDP (current US$),1.03144E+11,1.05035E+11,
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),,,
Portugal,PRT,GDP (current US$),1.9942E+11,2.05184E+11,2.17571E+11
Paraguay,PRY,GDP (current US$),27282581336,27424071373,29734895249
West Bank and Gaza,PSE,GDP (current US$),12673000000,13425700000,14498100000
Pacific island small states,PSS,GDP (current US$),8587236272,9027150901,9687357499
Post-demographic dividend,PST,GDP (current US$),4.42804E+13,4.52574E+13,4.7087E+13
French Polynesia,PYF,GDP (current US$),,,
Qatar,QAT,GDP (current US$),1.64641E+11,1.52452E+11,1.67605E+11
Romania,ROU,GDP (current US$),1.77911E+11,1.87806E+11,2.11803E+11
Russian Federation,RUS,GDP (current US$),1.3684E+12,1.28473E+12,1.57752E+12
Rwanda,RWA,GDP (current US$),8277613194,8475681533,9136689514
South Asia,SAS,GDP (current US$),2.69527E+12,2.90312E+12,3.29174E+12
Saudi Arabia,SAU,GDP (current US$),6.5427E+11,6.44936E+11,6.83827E+11
Sudan,SDN,GDP (current US$),97156119150,95584380032,1.17488E+11
Senegal,SEN,GDP (current US$),13640668374,14683747154,16374743753
Singapore,SGP,GDP (current US$),3.04098E+11,3.09764E+11,3.23907E+11
Solomon Islands,SLB,GDP (current US$),1154650066,1232699140,1303453616
Sierra Leone,SLE,GDP (current US$),4218723875,3556036535,3774270392
El Salvador,SLV,GDP (current US$),23166030400,23912227500,24805439600
San Marino,SMR,GDP (current US$),1569258068,1590707965,1658778454
Somalia,SOM,GDP (current US$),6631336625,6752653099,7368560695
Serbia,SRB,GDP (current US$),37160332465,38299854688,41431648801
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),1.60869E+12,1.51105E+12,1.64723E+12
South Sudan,SSD,GDP (current US$),10906867790,2904114903,
Sub-Saharan Africa,SSF,GDP (current US$),1.61006E+12,1.51247E+12,1.64871E+12
Small states,SST,GDP (current US$),4.52163E+11,4.41234E+11,4.81208E+11
Sao Tome and Principe,STP,GDP (current US$),315520894.9,354238109.3,390871568.6
Suriname,SUR,GDP (current US$),4826587058,3278425328,3324385325
Slovak Republic,SVK,GDP (current US$),87501423882,89768598023,95769031980
Slovenia,SVN,GDP (current US$),43072415017,44708598649,48769655479
Sweden,SWE,GDP (current US$),4.97918E+11,5.1446E+11,5.3804E+11
Eswatini,SWZ,GDP (current US$),4020275298,3720649375,4408564260
Sint Maarten (Dutch part),SXM,GDP (current US$),,,
Seychelles,SYC,GDP (current US$),1375604279,1425929444,1485994387
Syrian Arab Republic,SYR,GDP (current US$),,,
Turks and Caicos Islands,TCA,GDP (current US$),,,
Chad,TCD,GDP (current US$),10985793715,9412034269,9981303726
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),1.32456E+13,1.34834E+13,1.4714E+13
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),3.60163E+12,3.46604E+12,3.87986E+12
Togo,TGO,GDP (current US$),4087775415,4388569576,4812554346
Thailand,THA,GDP (current US$),4.01399E+11,4.11755E+11,4.55221E+11
Tajikistan,TJK,GDP (current US$),7853450374,6951657159,7145701019
Turkmenistan,TKM,GDP (current US$),35799628571,36179885714,42355428571
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),5.27806E+12,5.13444E+12,5.70471E+12
Timor-Leste,TLS,GDP (current US$),3104426021,2521007679,2954621000
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),1.42243E+12,1.43108E+12,1.41701E+12
Tonga,TON,GDP (current US$),435438217.3,401562006.2,426057453.1
South Asia (IDA & IBRD),TSA,GDP (current US$),2.69527E+12,2.90312E+12,3.29174E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),1.61006E+12,1.51247E+12,1.64871E+12
Trinidad and Tobago,TTO,GDP (current US$),24402499451,22320008403,22104775828
Tunisia,TUN,GDP (current US$),43156708809,42062549395,40256675209
Turkey,TUR,GDP (current US$),8.59797E+11,8.63722E+11,8.51102E+11
Tuvalu,TUV,GDP (current US$),35556038.82,36572611.89,39731317.3
Tanzania,TZA,GDP (current US$),45623490992,47388395823,52090320325
Uganda,UGA,GDP (current US$),27102650472,24078931744,25891058946
Ukraine,UKR,GDP (current US$),91030959455,93270479389,1.12154E+11
Upper middle income,UMC,GDP (current US$),2.02108E+13,2.01089E+13,2.21684E+13
Uruguay,URY,GDP (current US$),53274304222,52687612262,56156972158
United States,USA,GDP (current US$),1.81207E+13,1.86245E+13,1.93906E+13
Uzbekistan,UZB,GDP (current US$),66903804143,67067565989,48717685984
St. Vincent and the Grenadines,VCT,GDP (current US$),756666666.7,765555555.6,789629629.6
"Venezuela, RB",VEN,GDP (current US$),,,
British Virgin Islands,VGB,GDP (current US$),,,
Virgin Islands (U.S.),VIR,GDP (current US$),3765000000,,
Vietnam,VNM,GDP (current US$),1.93241E+11,2.05276E+11,2.23864E+11
Vanuatu,VUT,GDP (current US$),737917151.4,787942567.4,862879789.4
World,WLD,GDP (current US$),7.48427E+13,7.59368E+13,8.06838E+13
Samoa,WSM,GDP (current US$),803985809.2,786356314.8,856626506
Kosovo,XKX,GDP (current US$),6439946767,6715486726,7128690557
"Yemen, Rep.",YEM,GDP (current US$),34602480339,18213328571,
South Africa,ZAF,GDP (current US$),3.17741E+11,2.95763E+11,3.49419E+11
Zambia,ZMB,GDP (current US$),21154394546,20954754378,25808666422
Zimbabwe,ZWE,GDP (current US$),16304667800,16619960400,17845821400
