T08,"Teaching staff at the primary, secondary and tertiary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2015,Teachers at primary level (thousands),"1,171",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2015,Pupil-teacher ratio in primary education,22.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2015,Teachers at secondary level (thousands),"1,198",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2015,Pupil-teacher ratio in secondary education,15.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2015,Teachers at tertiary level (thousands),259,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2016,Teachers at primary level (thousands),"1,175",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2016,Pupil-teacher ratio in primary education,22.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2016,Teachers at secondary level (thousands),"1,209",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2016,Pupil-teacher ratio in secondary education,15.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
15,Northern Africa,2016,Teachers at tertiary level (thousands),260,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2005,Teachers at primary level (thousands),"2,577",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in primary education,44.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2005,Teachers at secondary level (thousands),"1,165",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2005,Pupil-teacher ratio in secondary education,27.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2005,Teachers at tertiary level (thousands),179,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2010,Teachers at primary level (thousands),"3,168",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in primary education,42.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2010,Teachers at secondary level (thousands),"1,858",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2010,Pupil-teacher ratio in secondary education,24.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2010,Teachers at tertiary level (thousands),262,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2015,Teachers at primary level (thousands),"4,085",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in primary education,38.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2015,Teachers at secondary level (thousands),"2,594",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in secondary education,21.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2015,Teachers at tertiary level (thousands),340,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2016,Teachers at primary level (thousands),"4,187",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2016,Pupil-teacher ratio in primary education,38.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2016,Teachers at secondary level (thousands),"2,601",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
202,Sub-Saharan Africa,2016,Pupil-teacher ratio in secondary education,22.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2005,Teachers at primary level (thousands),"1,865",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2005,Pupil-teacher ratio in primary education,14.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2005,Teachers at secondary level (thousands),"1,774",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2005,Pupil-teacher ratio in secondary education,15.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2005,Teachers at tertiary level (thousands),"1,367",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
21,Northern America,2010,Teachers at primary level (thousands),"1,920",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2018."
