Region/Country/Area,,Year,Series,Value,Footnotes,Source
145,Western Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
145,Western Asia,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
150,Europe,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
150,Europe,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
150,Europe,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
9,Oceania,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
9,Oceania,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
9,Oceania,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
53,Australia and New Zealand,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
53,Australia and New Zealand,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
53,Australia and New Zealand,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,Gross domestic expenditure on R & D: Business enterprises (%),3.3,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,Gross domestic expenditure on R & D: Government (%),80.8,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,Gross domestic expenditure on R & D: Higher education (%),8.6,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
8,Albania,2008,Gross domestic expenditure on R & D: Funds from abroad (%),7.4,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
12,Algeria,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,Gross domestic expenditure on R & D: Business enterprises (%),31,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,Gross domestic expenditure on R & D: Government (%),59.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,Gross domestic expenditure on R & D: Higher education (%),5.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,Gross domestic expenditure on R & D: Private non-profit (%),3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,Gross domestic expenditure on R & D: Funds from abroad (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,Gross domestic expenditure on R & D: Not distributed (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2008,Gross domestic expenditure on R & D: Business enterprises (%),26.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2008,Gross domestic expenditure on R & D: Government (%),67.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2008,Gross domestic expenditure on R & D: Higher education (%),4.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2008,Gross domestic expenditure on R & D: Private non-profit (%),1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2008,Gross domestic expenditure on R & D: Funds from abroad (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2008,Gross domestic expenditure on R & D: Not distributed (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,Gross domestic expenditure on R & D: Government (%),77.5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),4.7,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,Gross domestic expenditure on R & D: Not distributed (%),17.8,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,Gross domestic expenditure on R & D: Government (%),84.5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),11.7,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,Gross domestic expenditure on R & D: Not distributed (%),3.8,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,Gross domestic expenditure on R & D: Government (%),73.8,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),2.3,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,Gross domestic expenditure on R & D: Not distributed (%),23.9,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2004,Gross domestic expenditure on R & D: Business enterprises (%),54.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2004,Gross domestic expenditure on R & D: Government (%),40.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2004,Gross domestic expenditure on R & D: Higher education (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2004,Gross domestic expenditure on R & D: Private non-profit (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2004,Gross domestic expenditure on R & D: Funds from abroad (%),2.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,Gross domestic expenditure on R & D: Business enterprises (%),61.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,Gross domestic expenditure on R & D: Government (%),34.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,Gross domestic expenditure on R & D: Higher education (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,Gross domestic expenditure on R & D: Private non-profit (%),1.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,Gross domestic expenditure on R & D: Funds from abroad (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2013,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,Gross domestic expenditure on R & D: Business enterprises (%),47.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,Gross domestic expenditure on R & D: Government (%),32.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,Gross domestic expenditure on R & D: Higher education (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,Gross domestic expenditure on R & D: Private non-profit (%),0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,Gross domestic expenditure on R & D: Funds from abroad (%),19.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2005,Gross domestic expenditure on R & D: Business enterprises (%),45.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2005,Gross domestic expenditure on R & D: Government (%),35.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2005,Gross domestic expenditure on R & D: Funds from abroad (%),18,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,Gross domestic expenditure on R & D: Business enterprises (%),47.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,Gross domestic expenditure on R & D: Government (%),34.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,Gross domestic expenditure on R & D: Higher education (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,Gross domestic expenditure on R & D: Private non-profit (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,Gross domestic expenditure on R & D: Funds from abroad (%),16.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2010,Gross domestic expenditure on R & D: Business enterprises (%),45.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2010,Gross domestic expenditure on R & D: Government (%),38.3,Estimate.;Including other classes.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2010,Gross domestic expenditure on R & D: Funds from abroad (%),16.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,Gross domestic expenditure on R & D: as a percentage of GDP (%),3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,Gross domestic expenditure on R & D: Business enterprises (%),48.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,Gross domestic expenditure on R & D: Government (%),33.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,Gross domestic expenditure on R & D: Higher education (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,Gross domestic expenditure on R & D: Private non-profit (%),0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,Gross domestic expenditure on R & D: Funds from abroad (%),16.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2015,Gross domestic expenditure on R & D: Business enterprises (%),47,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2015,Gross domestic expenditure on R & D: Government (%),36.6,Estimate.;Including other classes.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2015,Gross domestic expenditure on R & D: Funds from abroad (%),15.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Data have been converted from the former national currency using the appropriate conversion rate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Business enterprises (%),18.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Government (%),77.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Higher education (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Private non-profit (%),1.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Funds from abroad (%),2.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
