Region/Country/Area,,Year,Series,Value,Footnotes,Source
2,Africa,2005,Labour force participation - Female,53.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2005,Unemployment rate - Female,10,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2010,Labour force participation - Total,64.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2010,Unemployment rate - Total,7.8,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2010,Labour force participation - Male,74.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2010,Unemployment rate - Male,6.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2010,Labour force participation - Female,54.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2010,Unemployment rate - Female,9.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2015,Labour force participation - Total,64.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2015,Unemployment rate - Total,7.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2015,Labour force participation - Male,73.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2015,Unemployment rate - Male,6.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2015,Labour force participation - Female,55.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2015,Unemployment rate - Female,8.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2018,Labour force participation - Total,64.5,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2018,Unemployment rate - Total,7.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2018,Labour force participation - Male,73.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
2,Africa,2018,Unemployment rate - Male,7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed February 2018."
